title,authors,average_rating,isbn,isbn13,publication_date,publisher
Cat Seeing Double (Joe Grey  #8),Shirley Rousseau Murphy,4.25,006101561X,9780061015618,10/28/2003,Avon
100 Great Fantasy Short Short Stories,Isaac Asimov/Terry Carr/Martin H. Greenberg/Janet  Fox,3.91,0380699176,9780380699179,8/1/1985,Avon
Sabriel (Abhorsen  #1),Garth Nix,4.17,0060575816,9780060575816,8/17/2004,Eos
Brian's Winter,Gary Paulsen,4.01,0385321988,9780385321983,1/1/1996,Delacorte Books for Young Readers
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,5/1/2002,EMC/Paradigm Publishing
The Edgar Allan Poe Audio Collection,Edgar Allan Poe,4.39,0694524190,9780694524198,10/1/2000,Harper Audio
Tristan Taormino's True Lust,Tristan Taormino,3.97,1573441570,9781573441575,9/25/2002,Cleis Press
Chekhov's Doctors: A Collection of Chekhov's Medical Tales (Literature & Medicine 5),Anton Chekhov/Jack Coulehan/Robert Coles,4.04,0873387805,9780873387804,9/28/2003,Kent State University Press (OH)
Mortal Fear (Mississippi #1),Greg Iles,4.0,0451180410,9780451180414,2/1/1998,Signet
Nicomachean Ethics,Aristotle/Joe Sachs,3.94,1585100358,9781585100354,1/1/2002,Focus
On Truth,Harry G. Frankfurt/Baruch Spinoza,3.52,030726422X,9780307264220,10/31/2006,Knopf
Winston Churchill,John Keegan,3.83,0670030791,9780670030798,10/14/2002,Viking Books
In a Dry Season (Inspector Banks  #10),Peter Robinson,4.13,0380794772,9780380794775,7/3/2000,Avon
Cat Laughing Last (Joe Grey  #7),Shirley Rousseau Murphy,4.22,0061015628,9780061015625,11/5/2002,Avon
Without Remorse (John Clark  #1; Jack Ryan Universe Publication Order #6),Tom Clancy,4.18,0425143325,9780425143322,8/1/1994,Berkley Books
From Socrates to Sartre: The Philosophic Quest,T.Z. Lavine,3.94,0553251619,9780553251616,1/1/1985,Bantam
The Door to December,Richard Paige/Dean Koontz,3.95,0451205421,9780451205421,6/1/2002,Berkley Books
Museum of Terror  Vol. 2: Tomie 2,Junji Ito/伊藤潤二/Naomi Kokubo,4.11,1593076126,9781593076122,9/19/2006,Dark Horse Manga
The Oil Jar and Other Stories,Luigi Pirandello/Stanley Appelbaum,3.85,048628459X,9780486284590,4/3/1995,Dover Publications
Agricola/Germany,Tacitus/Anthony Richard Birley,3.99,0192833006,9780192833006,9/23/1999,Oxford University Press
Man Walks Into a Room,Nicole Krauss,3.33,0385721919,9780385721912,11/11/2003,Anchor Books
The Best American Nonrequired Reading 2004,Dave Eggers/Viggo Mortensen,3.86,0618341234,9780618341238,10/14/2004,Houghton Mifflin
Flow My Tears  the Policeman Said,Philip K. Dick,3.91,1857983416,9781857983418,11/8/2001,Gollancz
Company,Max Barry,3.73,1400079373,9781400079377,3/13/2007,Vintage
Essential Dialogues of Plato,Plato/Benjamin Jowett/Pedro De Blas,4.05,159308269X,9781593082697,10/5/2005,Barnes  Noble Classics
Reading Lolita in Tehran,Azar Nafisi,3.61,0007178484,9780007178483,1/2/2004,Fourth Estate
East of Eden,John Steinbeck,4.37,0142004235,9780142004234,6/18/2002,Penguin Books
The Greenlanders,Jane Smiley,3.9,1400095468,9781400095469,9/13/2005,Anchor
The Flood-Tide (Morland Dynasty  #9),Cynthia Harrod-Eagles,4.25,075150646X,9780751506464,2/1/1986,Little  Brown Book Group
Tramps Like Us  Volume 8,Yayoi Ogawa,4.3,1595324380,9781595324382,2/7/2006,TokyoPop
Cool Girl,Blake Nelson/Hans Schumacher,3.76,3407788193,9783407788191,12/1/2000,Beltz und Gelberg
The Bostonians,Henry James/R.D. Gooder,3.59,0192834428,9780192834423,7/23/1998,Oxford University Press
Dates from Hell,Kim Harrison/Lynsay Sands/Kelley Armstrong/Lori Handeland,3.78,006085409X,9780060854096,3/28/2006,Avon
Ring for Jeeves (Jeeves  #10),P.G. Wodehouse,4.01,1585675245,9781585675241,4/12/2004,Harry N. Abrams
Prioritizing Web Usability,Jakob Nielsen/Hoa Loranger,3.94,0321350316,9780321350312,4/20/2006,New Riders Publishing
The Feast Of All Saints,Anne Rice,3.85,0099269473,9780099269472,12/4/1997,Arrow
Behaving Like Adults,Anna Maxted,3.54,0060096683,9780060096687,8/3/2004,William Morrow Paperbacks
The Memoirs of Cleopatra,Margaret George,4.18,0330353829,9780330353823,1/10/1998,MacMillan General Books
The Eternity Code (Artemis Fowl  #3),Eoin Colfer,4.04,0439573882,9780439573887,10/1/2003,Scholastic Inc.
Media Control: The Spectacular Achievements of Propaganda,Noam Chomsky,4.02,1583225366,9781583225363,9/3/2002,Seven Stories Press
1968: War and Democracy,Eugene J. McCarthy/Christopher Hitchens,4.5,1883477379,9781883477370,9/23/2000,Lone Oak Press
The Moonstone,Wilkie Collins/P.D. James,3.91,0192100289,9780192100283,6/10/1999,Oxford University Press  USA
Dominion: The Power of Man  the Suffering of Animals  and the Call to Mercy,Matthew Scully,4.16,0312319738,9780312319731,10/8/2003,St. Martin's Griffin
Everyman,Philip Roth,3.58,061873516X,9780618735167,5/9/2006,Houghton Mifflin
Angeles & Demonios,Dan Brown/Raúl Amundaray,3.89,0972859896,9780972859899,12/1/2005,FonoLibro
Thanksgiving,Janet Evanovich,3.6,0060598808,9780060598808,10/31/2006,HarperTorch
Moonraker's Bride,Madeleine Brent,4.31,0285620649,9780285620643,1/1/1973,Souvenir Press
The Bon Appetit Cookbook,Barbara Fairchild,4.07,0764596861,9780764596865,8/15/2006,Houghton Mifflin Harcourt
I'll Be Seeing You,Mary Higgins Clark,3.81,0671888587,9780671888589,5/1/1994,Pocket Books
Theories of Relativity,Barbara Haworth-Attard,3.91,0805077901,9780805077902,9/1/2005,Henry Holt and Co. (BYR)
Where Rainbows End,Cecelia Ahern,3.94,0007189958,9780007189953,11/8/2004,HarperCollins
Do Not Open This Book,Michaela Muntean/Pascal Lemaître,3.9,0439698391,9780439698399,3/1/2006,Scholastic Press
